Power,TEG_data
2.98187390925e-08,-1.0568862638866722e-06
3.06502019425e-08,3.8483745974277647e-07
3.09434192418e-08,2.0452496133609307e-06
3.02496307353e-08,2.247738900387525e-06
2.9660672439000002e-08,2.863306332948377e-06
3.01713666304e-08,2.8714059044295274e-06
3.02864727472e-08,2.968600762202385e-06
2.989421253e-08,3.1791896207099127e-06
3.0616697151800005e-08,3.6975621954980157e-06
3.0128471646e-08,4.215934770286146e-06
3.0447993335200005e-08,5.657658493915486e-06
3.05734172575e-08,5.86014778094208e-06
3.0966705017e-08,6.370420784249141e-06
3.05142769424e-08,6.483814784984029e-06
3.02104903074e-08,7.107481789026004e-06
2.9587677472800003e-08,7.6177547923329564e-06
3.11739996722e-08,7.72304922158691e-06
3.02370411882e-08,8.030832937867241e-06
3.0050479625e-08,8.030832937867295e-06
3.1212493031e-08,8.128027795640126e-06
3.01286179455e-08,8.435811511920511e-06
3.06050085194e-08,8.751694799681993e-06
3.08528148291e-08,9.164772945216305e-06
2.9149009754099998e-08,9.164772945216305e-06
2.98373810004e-08,9.164772945216305e-06
3.0493458811199994e-08,9.164772945216305e-06
3.07768565984e-08,9.164772945216305e-06
3.0088953841499996e-08,9.164772945216305e-06
3.0607804777600004e-08,8.751694799681993e-06
2.9714664046200006e-08,8.435811511920511e-06
3.05082921988e-08,8.128027795640126e-06
3.0692430490800006e-08,8.030832937867295e-06
3.05300656367e-08,8.030832937867241e-06
3.110837911470001e-08,7.72304922158691e-06
3.07540742976e-08,7.6177547923329564e-06
3.06927070112e-08,7.2046766467986445e-06
3.01606567713e-08,7.107481789026004e-06
3.04167649705e-08,6.686304072010677e-06
3.01173245457e-08,6.589109214237874e-06
3.1321184937999996e-08,6.589109214237874e-06
3.03274896548e-08,6.589109214237874e-06
3.09483164576e-08,6.589109214237874e-06
3.0748082420800004e-08,6.589109214237874e-06
3.01511730402e-08,6.589109214237874e-06
3.08673493502e-08,6.589109214237874e-06
3.0624559138e-08,6.589109214237874e-06
2.98367952651e-08,6.589109214237874e-06
2.98659410454e-08,6.589109214237874e-06
3.0287136424599996e-08,6.483814784984029e-06
3.0025543548000006e-08,6.483814784984029e-06
2.99579391097e-08,5.7548533516883435e-06
2.98446960009e-08,5.657658493915486e-06
2.94504265042e-08,4.215934770286146e-06
3.0141727535e-08,3.900051482524664e-06
3.12774265068e-08,3.6975621954980157e-06
3.13685409548e-08,3.6975621954980157e-06
3.07260264608e-08,1.1137988930385971e-06
3.00283328686e-08,1.1137988930385971e-06
3.1409927367e-08,1.1137988930385971e-06
3.14017393456e-08,1.1137988930385971e-06
3.05817855555e-08,1.1137988930385971e-06
3.0583592267900004e-08,1.1137988930385971e-06
3.0414735293600006e-08,1.1137988930385971e-06
3.02374608515e-08,1.1137988930385971e-06
3.0025237222199994e-08,1.1137988930385971e-06
3.11673109214e-08,1.1137988930385971e-06
3.017225484e-08,1.1137988930385971e-06
2.9884455988199995e-08,1.1137988930385971e-06
3.04541049516e-08,1.1137988930385971e-06
3.0111912558000004e-08,1.1137988930385971e-06
3.0477754101999996e-08,1.1137988930385971e-06
3.1072906147e-08,1.1137988930385971e-06
3.0697762695600005e-08,1.1137988930385971e-06
3.042780686400001e-08,1.1137988930385971e-06
3.0367041788599995e-08,1.1137988930385971e-06
3.03845919588e-08,1.1137988930385971e-06
3.0367115491300004e-08,1.1137988930385971e-06
2.99922018813e-08,1.1137988930385971e-06
3.04657926895e-08,1.1137988930385971e-06
2.9495198843400004e-08,1.1137988930385971e-06
2.93551645484e-08,1.1137988930385971e-06
2.982352530290001e-08,1.1137988930385971e-06
2.99496157928e-08,2.3530333296414244e-06
3.0874715323e-08,2.660817045921837e-06
3.0300254377799996e-08,6.686304072010623e-06
3.00547303428e-08,7.099382217544989e-06
3.022652576e-08,7.925538508613504e-06
2.9497537497600002e-08,8.030832937867241e-06
3.00245487843e-08,8.030832937867241e-06
2.99037007563e-08,8.338616654147816e-06
2.9277296730000003e-08,8.338616654147816e-06
2.9404576438499998e-08,8.338616654147816e-06
3.0079993869e-08,8.338616654147816e-06
3.0138143802e-08,8.338616654147816e-06
3.0269270304000004e-08,8.338616654147816e-06
3.0200324384e-08,8.338616654147816e-06
3.06516699851e-08,8.338616654147816e-06
3.0474713624e-08,8.338616654147816e-06
3.0481337835e-08,8.338616654147816e-06
3.073332517e-08,8.338616654147816e-06
3.01714514222e-08,8.338616654147816e-06
3.02684809815e-08,8.338616654147816e-06
2.86926267788e-08,8.338616654147816e-06
2.9832058053e-08,8.338616654147816e-06
2.9827311534e-08,8.338616654147816e-06
3.07801137059e-08,8.338616654147816e-06
3.05112366755e-08,8.338616654147816e-06
2.9410207106399997e-08,8.338616654147816e-06
3.0375439367700003e-08,8.338616654147816e-06
3.0385211766e-08,8.338616654147816e-06
3.00396577644e-08,8.241421796374878e-06
3.0070505556e-08,8.241421796374878e-06
2.982352530290001e-08,8.030832937867241e-06
2.90536667233e-08,8.030832937867241e-06
2.9388379516200003e-08,8.030832937867241e-06
2.8915132797000002e-08,5.965442210195926e-06
2.91827547e-08,8.060151767581034e-07
2.8605277310999998e-08,-4.3321925984469685e-07
2.94465548025e-08,-5.385136890985421e-07
2.91267199575e-08,-1.883042554955269e-06
2.96538079356e-08,-2.6039044167698578e-06
2.95994667375e-08,-5.7060402940174065e-06
2.93893570575e-08,-8.589487741276277e-06
2.9881280060099997e-08,-8.694782170530122e-06
3.02565289505e-08,-1.0241800323413362e-05
3.02194532625e-08,-1.2930858055126599e-05
3.0466333197300006e-08,-1.3862308775448932e-05
2.99795325088e-08,-1.7571912513776318e-05
3.03392332448e-08,-1.7571912513776318e-05
2.94465011067e-08,-1.7571912513776318e-05
2.99329507146e-08,-1.7571912513776318e-05
3.0246433745100004e-08,-1.7571912513776318e-05
3.04998945568e-08,-1.7571912513776318e-05
3.0280284022800004e-08,-1.7571912513776318e-05
2.97939578358e-08,-1.7571912513776318e-05
3.00426484666e-08,-1.7571912513776318e-05
3.0329612586e-08,-1.7571912513776318e-05
3.0045669662e-08,-1.7571912513776318e-05
3.0284026127e-08,-1.7571912513776318e-05
3.00137732565e-08,-1.7571912513776318e-05
3.1322401674199997e-08,-1.7571912513776318e-05
2.95605605712e-08,-1.7571912513776318e-05
2.920843233e-08,-1.7571912513776318e-05
2.9406936998999998e-08,-1.7571912513776318e-05
3.0115396031599996e-08,-1.7571912513776318e-05
-3.8991028783455e-06,-1.7571912513776318e-05
0.0005219476404241279,-1.7571912513776318e-05
0.00052191545914158,-1.7571912513776318e-05
0.000521951991581784,-1.7571912513776318e-05
0.000521874020055006,-1.7571912513776318e-05
0.0005219433115512769,-1.7571912513776318e-05
0.000521852123284544,-1.7571912513776318e-05
0.0005219460693377919,-1.7571912513776318e-05
0.000521783546562688,-1.4680365495036351e-05
0.000521880690302251,-1.4372581778755993e-05
0.000521803560090309,-1.2307191051084677e-05
0.000521951222976807,-5.80323515179021e-06
0.000521933549743552,7.007207475042581e-07
0.000521895966412608,1.4215826093189282e-06
0.000521874044848576,7.107481789026004e-06
0.0005220288015345921,1.2777181825770833e-05
0.000521750226693654,1.4842572553442284e-05
0.0005218505293090681,1.9702315442080628e-05
0.000521848597906944,2.2277979173059004e-05
0.000521855265457216,2.9502796934168142e-05
0.000521838823156875,2.9713385792675887e-05
0.000521877187021248,4.0040339431032655e-05
0.0005217149535146401,4.2510708732757186e-05
0.000521870914950016,5.1387839076003436e-05
0.0005217874181483751,5.138783907600349e-05
0.0005217996056182202,5.779460011752521e-05
0.000521853658953903,6.831594347142737e-05
0.000521938622935611,7.369405893485395e-05
0.000521816463881388,7.761425153168894e-05
0.000521855229912879,7.95743478301065e-05
0.00052181329358284,8.887265589036807e-05
0.000521807887151922,9.175610333762686e-05
0.0005218630601615251,0.00010105441139788844
0.000521779959631952,0.00010115160625566121
0.000521841512804976,0.00010993154174113474
0.00052172953461321,0.0001167432813567097
0.000521734568736878,0.00011829029950959289
0.0005218098193799789,0.00012170021910312069
0.000521763113767634,0.00012334443211377697
0.0005218136643941521,0.0001241786879763265
0.000521754955395507,0.00012820417500241534
0.0005218583953557759,0.00013728379463268822
0.0005218861666802701,0.00013925199050258667
0.00052173539597628,0.00014513227939783928
0.00052179684856266,0.0001460637301181617
0.000521877548193323,0.0001462662194051883
0.000521789390967033,0.00014967613899871622
0.0005218286095221061,0.00015597760561098415
0.000521786230177338,0.0001561800948980107
0.0005218892963886001,0.0001666042433941402
0.00052178082851115,0.00017301100443566198
0.0005219057412566339,0.00017373186629747654
0.00052183572391386,0.00017734427517803123
0.000521832563613225,0.00018332985850253762
0.000521888135529152,0.0001861242106635047
0.00052188352030926,0.00018746063995788025
0.000521875206564432,0.0001934543228538677
0.000521914346328606,0.00019582749729781958
0.000521874391818348,0.0001987109447450783
0.000521889668279181,0.00020346539320446294
0.000521945696844528,0.0002049152164995734
0.0005218791192477869,0.00020790395837608604
0.0005219057412566339,0.00020903789838343502
0.0005219359338299,0.00021192944540217488
0.0005220169916713291,0.00021255311240621689
0.0005219558431654,0.00021584963799900982
0.00052183755601395,0.00021802032315593517
0.0005218618612201199,0.00021823091201444276
0.000521865817439442,0.00021832810687221564
0.0005219046212997899,0.00022297726090234643
0.000521813334300048,0.00022421649533894926
0.0005218356134823659,0.00022566631863405972
0.0005219131992658559,0.00022669496421215475
0.0005218426990604221,0.00022772360979024989
0.00052199229883902,0.00022813668793578425
0.000521789390967033,0.0002291734330853604
0.000521839569415587,0.00022937592237238697
0.000521961810948084,0.0002330936256821954
0.000521865362310822,0.00023381448754401012
0.00052199196103063,0.00024135518859288088
0.0005219821630771481,0.00024146048302213467
0.000521810565066987,0.00024239193374245708
0.00052191788797664,0.00024651461562631867
0.0005218779637151099,0.0002502404185076081
0.000521854857323604,0.0002524030040930523
0.000521837927205588,0.00025498676739551173
0.000521746342264888,0.00025612070740286066
0.000521922961486423,0.0002567362748354216
0.0005218712885231929,0.00025880166556309283
0.000521849714721597,0.00026107764514927186
0.00052185164469471,0.00026438227031354603
0.000521927662375952,0.0002678893847648468
0.0005219053683824,0.00026871554105591534
0.000521933136851952,0.0002697441866340106
0.000521968444603984,0.0002703597540665713
0.000521899096311168,0.0002706756373543329
0.000521957401946001,0.0002716070880746552
0.000521946441386342,0.000275114202525956
0.000521920246318785,0.0002754300858137176
0.00052202366255045,0.00027728488768288123
0.00052188110576055,0.0002781029444024687
0.000521955911972945,0.0002806867077049281
0.000521933136851952,0.00028317327614961485
0.000521962930047372,0.00028595142916761974
0.0005220001670424801,0.000288122114324545
0.000521978579857647,0.00029111895577253874
0.000521855973757287,0.00029183981763435346
