Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
-0.000246753,-8.394e-07,-0.000310163,-0.002226554,0.001915308,32508.318015813828
-0.000278458,-8.648e-07,-0.000266244,-0.002226424,0.00191666,32510.099910974503
-0.000303017,-8.903e-07,-0.000252081,-0.002227022,0.001917192,32511.915760993958
-0.000309774,-9.411e-07,-0.000314711,-0.002227464,0.001918622,32513.698717832565
-0.000345767,-1.0938e-06,-0.000329264,-0.002227906,0.001919024,32515.486546993256
-0.000310034,-1.0429e-06,-0.000350315,-0.002228191,0.001920857,32517.296895980835
-0.000305356,-7.377e-07,-0.000319259,-0.002228477,0.001922156,32519.10195207596
-0.000312892,-7.122e-07,-0.000277809,-0.002228958,0.00192291,32520.9015045166
-0.000271832,-6.613e-07,-0.000258318,-0.002229036,0.001924391,32522.705451488495
-0.000202834,-8.14e-07,-0.00027547,-0.002229881,0.001925885,32524.50626206398
-0.000285475,-1.0938e-06,-0.000290673,-0.00223005,0.001927185,32526.291300296783
-0.000314971,-7.631e-07,-0.000281837,-0.002230296,0.001928705,32528.099128246307
-0.000282876,-9.92e-07,-0.000306655,-0.002230569,0.00193029,32529.875628471375
-0.000293661,-8.648e-07,-0.000322897,-0.002230816,0.001931667,32531.683458805084
-0.000339919,-9.92e-07,-0.000282616,-0.002231453,0.001933604,32533.47589945793
-0.000308214,-1.0683e-06,-0.000315751,-0.002231336,0.001934617,32535.26189661026
-0.000313542,-7.885e-07,-0.000290283,-0.002231882,0.001936267,32537.073652267456
-0.000231291,-7.122e-07,-0.000252471,-0.00223183,0.001937827,32538.883137464523
-0.000209071,-7.122e-07,-0.00029717,-0.002232401,0.001938541,32540.67386841774
-0.000250262,-8.14e-07,-0.000255849,-0.002232713,0.001940269,32542.45386171341
-0.000237918,-7.631e-07,-0.000268973,-0.002233181,0.001941491,32544.255674362183
-0.000313412,-9.411e-07,-0.000272091,-0.00223374,0.001942089,32546.035639047623
-0.000286515,-8.903e-07,-0.000248313,-0.002234195,0.001943388,32547.85750555992
-0.000264035,-7.885e-07,-0.000215568,-0.002235208,0.001944427,32549.65016412735
-0.00029678,-8.648e-07,-0.000300028,-0.002235624,0.001944947,32551.438940286636
-0.000312892,-9.92e-07,-0.000271052,-0.002236287,0.001946,32553.219352960587
-0.000252471,-7.885e-07,-0.000283656,-0.002236858,0.001946948,32555.02047753334
-0.000251041,-1.0175e-06,-0.000248053,-0.002237183,0.00194765,32556.82406449318
-0.000277679,-9.157e-07,-0.000293142,-0.002237586,0.001948235,32558.60861349106
-0.000264555,-7.377e-07,-0.000263516,-0.002239041,0.001949885,32560.404435157776
-0.000267674,-6.359e-07,-0.000256499,-0.002238677,0.001950106,32562.201312303543
-0.000213359,-6.359e-07,-0.000229472,-0.002238885,0.001950301,32563.988085985184
-0.00025416,-8.14e-07,-0.000276899,-0.00223921,0.001951145,32565.77827811241
-0.000262086,-7.885e-07,-0.000284176,-0.002239353,0.001951743,32567.56805920601
-0.000287554,-8.394e-07,-0.000250911,-0.002240276,0.001952055,32569.356965065002
-0.000258448,-7.377e-07,-0.000268453,-0.002239964,0.001951977,32571.140520572662
-0.000289373,-6.359e-07,-0.000246623,-0.002240523,0.001952354,32572.94855237007
-0.000230511,-6.359e-07,-0.00023207,-0.002240834,0.001952549,32574.753567934036
-0.000310813,-7.377e-07,-0.000301198,-0.002240912,0.001953068,32576.54460334778
-0.0002973,-8.648e-07,-0.000299898,-0.002241393,0.001953302,32578.324636936188
-0.000279368,-8.394e-07,-0.000311983,-0.002241354,0.001953198,32580.126449108124
-0.000294701,-9.666e-07,-0.000280148,-0.002241939,0.001953367,32581.90535068512
-0.000258058,-7.885e-07,-0.000255199,-0.002242056,0.001953445,32583.697107076645
-0.000215308,-5.342e-07,-0.000234669,-0.002242225,0.001952588,32585.508303642273
-0.00027469,-8.648e-07,-0.000268973,-0.002242589,0.00195312,32587.31412744522
-0.000261566,-7.377e-07,-0.000305096,-0.002242719,0.00195251,32589.097999095917
-0.00023376,-9.411e-07,-0.000243115,-0.002243563,0.001952185,32590.92238354683
-0.000245324,-8.394e-07,-0.000251821,-0.002243797,0.001951782,32592.721398830414
-0.000263645,-8.648e-07,-0.000263256,-0.002244356,0.001951379,32594.518316030502
-0.000250132,-7.122e-07,-0.000277549,-0.002244421,0.001950846,32596.316588640213
-0.000271312,-8.394e-07,-0.000272351,-0.002245187,0.001950483,32598.09400510788
-0.00025481,-8.903e-07,-0.000243375,-0.00224533,0.001949872,32599.908705711365
-0.000255459,-1.0683e-06,-0.00027456,-0.002245486,0.001949573,32601.699649095535
-0.000162033,-7.631e-07,-0.00023207,-0.002245954,0.001948793,32603.507514715195
-0.000259487,-8.14e-07,-0.000214529,-0.002245941,0.001948196,32605.28781938553
-0.000250652,-6.868e-07,-0.00027443,-0.002246058,0.001948417,32607.08874964714
-0.000313152,-8.394e-07,-0.000260657,-0.002245629,0.0019483,32608.89062476158
-0.000262736,-8.394e-07,-0.000320169,-0.002246812,0.001947,32610.704347610474
-0.000320818,-8.648e-07,-0.000295221,-0.00224702,0.001947208,32612.503039836884
-0.000334072,-1.1955e-06,-0.000287684,-0.002246656,0.001948014,32614.288848638535
-0.000307435,-1.1192e-06,-0.000298469,-0.002247318,0.001946922,32616.08764410019
-0.000271052,-8.394e-07,-0.00029626,-0.002248007,0.001947169,32617.88934135437
-0.000285085,-1.0683e-06,-0.000271182,-0.002247331,0.001946584,32619.675101995468
-0.000325626,-1.0429e-06,-0.000355382,-0.002247955,0.001946922,32621.452793598175
-0.000315101,-7.377e-07,-0.000333812,-0.002248189,0.001946558,32623.24159002304
-0.000311333,-7.885e-07,-0.000305486,-0.002248059,0.001945818,32625.03154039383
-0.000301847,-8.903e-07,-0.000266634,-0.002248384,0.001946182,32626.846004724503
-0.000305096,-9.157e-07,-0.000298859,-0.002248566,0.001946312,32628.629603385925
-0.000307045,-9.157e-07,-0.000364218,-0.002248098,0.001945805,32630.433642864227
-0.00031848,-7.631e-07,-0.000310683,-0.002248475,0.001945454,32632.24145913124
-0.000291972,-8.903e-07,-0.000284176,-0.002249306,0.001944505,32634.025470495224
-0.000272221,-9.411e-07,-0.0003177,-0.002248956,0.001944492,32635.831281900406
-0.000311333,-1.0683e-06,-0.000336541,-0.002249748,0.001943687,32637.6141204834
-0.000285085,-1.0175e-06,-0.000303667,-0.002250411,0.001942439,32639.407900333405
