Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-3.9e-07,-7.0712999999999995e-06,-0.002456364,-2.2231999999999997e-05,0.000229407,1.7876005172729492,"03 04 2019, 17_48_19"
-1.3e-07,-7.2494e-06,-0.002502622,-2.1921e-05,0.000229485,3.498399257659912,"03 04 2019, 17_48_20"
-7.8e-07,-7.045900000000001e-06,-0.002490018,-2.244e-05,0.00022977,5.207291126251222,"03 04 2019, 17_48_22"
-5.2e-07,-7.0967999999999995e-06,-0.002510288,-2.2388000000000003e-05,0.00022956299999999998,6.918276786804199,"03 04 2019, 17_48_24"
-7.8e-07,-7.325700000000001e-06,-0.002546411,-2.2544e-05,0.00022900400000000002,8.631227970123291,"03 04 2019, 17_48_26"
-2.6e-07,-7.173099999999999e-06,-0.002514186,-2.2335999999999998e-05,0.000229121,10.3433837890625,"03 04 2019, 17_48_27"
-6.5e-07,-7.0967999999999995e-06,-0.002488458,-2.2388000000000003e-05,0.000229069,12.050966024398804,"03 04 2019, 17_48_29"
-5.2e-07,-7.173099999999999e-06,-0.002505221,-2.2505e-05,0.000228718,13.763797283172607,"03 04 2019, 17_48_31"
1.3e-07,-7.045900000000001e-06,-0.002447008,-2.244e-05,0.00022925099999999998,15.475396633148193,"03 04 2019, 17_48_32"
-1.299e-06,-7.0712999999999995e-06,-0.0025403039999999997,-2.257e-05,0.000228614,17.185991048812866,"03 04 2019, 17_48_34"
-1.299e-06,-7.045900000000001e-06,-0.002465199,-2.2856e-05,0.00022877,18.898173570632935,"03 04 2019, 17_48_36"
-1.3e-07,-7.2748e-06,-0.002503791,-2.2817e-05,0.000228315,20.607759714126587,"03 04 2019, 17_48_38"
-6.5e-07,-6.995e-06,-0.002486379,-2.3194000000000002e-05,0.00022873099999999998,22.319138765335087,"03 04 2019, 17_48_39"
-1.3e-07,-6.944099999999999e-06,-0.002482091,-2.3038000000000002e-05,0.000229173,24.03195858001709,"03 04 2019, 17_48_41"
-1.1690000000000002e-06,-6.9696e-06,-0.00248508,-2.2986e-05,0.000228458,25.740166902542114,"03 04 2019, 17_48_43"
