Current,Ground,Supply_voltage,TEG_voltage,Time
-6.7686e-06,2.68e-07,-0.0024031,-0.000149988,1.5503218173980713
-6.9428e-06,4.59e-07,-0.0024158,-0.000150026,2.9274373054504395
-6.9179e-06,5.23e-07,-0.0024031,-0.00014944,4.269916296005249
-6.9677e-06,2.68e-07,-0.0024413,-0.00014981,5.609686851501465
-6.7437e-06,4.84e-07,-0.0023777,-0.000149912,6.971331357955933
-7.1419e-06,0.0,-0.0024031,-0.000149593,8.319616079330444
-7.0672e-06,4.59e-07,-0.0024413,-0.000149682,9.651784658432007
-7.0424e-06,2.29e-07,-0.0024158,-0.000149198,10.99217963218689
-6.9179e-06,6.25e-07,-0.0024158,-0.000149427,12.369707822799683
-7.0175e-06,1.02e-07,-0.0024794,-0.000149376,13.71747899055481
-6.9677e-06,4.08e-07,-0.0024667,-0.000149606,15.050395488739014
-6.9428e-06,4.97e-07,-0.0024413,-0.00014944,16.422741174697876
-6.9179e-06,3.82e-07,-0.0024413,-0.000149823,17.767361402511597
-7.0424e-06,1.78e-07,-0.0024794,-0.000149376,19.110044240951538
-7.117e-06,5.48e-07,-0.0024794,-0.000149657,20.46527409553528
-7.1419e-06,3.95e-07,-0.0024413,-0.0001493,21.807820320129395
-7.1668e-06,4.59e-07,-0.002454,-0.000149631,23.158193588256836
-6.893e-06,2.8e-07,-0.0024286,-0.00014981,24.50035810470581
-7.0424e-06,6.5e-07,-0.0023904,-0.000149593,25.85637331008911
-7.0921e-06,2.55e-07,-0.002454,-0.000149466,27.19206690788269
-6.9926e-06,4.08e-07,-0.0024158,-0.000149721,28.55081558227539
-7.1419e-06,-1.15e-07,-0.0024413,-0.000149631,29.894241094589233
-6.893e-06,3.57e-07,-0.0024794,-0.000149351,31.228277683258057
-6.8184e-06,6.12e-07,-0.002454,-0.000149682,32.57984685897827
-7.1668e-06,8.03e-07,-0.0024667,-0.0001493,33.93075251579285
-7.0424e-06,8.92e-07,-0.0024413,-0.000149389,35.25239872932434
-7.0424e-06,7.14e-07,-0.0024921,-0.000149351,36.600510597229004
-6.9677e-06,2.04e-07,-0.0024286,-0.000149478,37.94158411026001
-6.9677e-06,-1.27e-07,-0.002454,-0.00014907,39.29335927963257
-7.117e-06,2.55e-07,-0.0024794,-0.000149325,40.66028666496277
-7.1419e-06,3.31e-07,-0.0024794,-0.000149376,42.00084161758423
-7.0672e-06,2.68e-07,-0.0024794,-0.000149478,43.34034442901611
-6.893e-06,6.12e-07,-0.0024667,-0.000149402,44.69256091117859
-6.8433e-06,2.93e-07,-0.0024158,-0.000149172,46.050493240356445
-6.9428e-06,-1.15e-07,-0.0023904,-0.000149389,47.398447036743164
-6.8682e-06,3.06e-07,-0.0024286,-0.000148905,48.74375295639038
-6.8433e-06,2.68e-07,-0.0024286,-0.000149172,50.080708503723145
-7.117e-06,3.95e-07,-0.0024667,-0.000149262,51.42122197151184
-6.893e-06,3.44e-07,-0.0024667,-0.000149402,52.779552698135376
-6.9677e-06,5.1e-08,-0.0024286,-0.000149453,54.11992073059082
-6.9428e-06,5.35e-07,-0.0024286,-0.000149402,55.45642161369324
-6.8433e-06,1.78e-07,-0.0024286,-0.000149325,56.8082709312439
-6.9926e-06,1.53e-07,-0.0024158,-0.000149249,58.160566329956055
-6.8682e-06,-8.9e-08,-0.0024794,-0.000149185,59.49050259590149
-6.7935e-06,1.53e-07,-0.0024286,-0.000149083,60.838128089904785
-6.9926e-06,7.78e-07,-0.0024286,-0.000149223,62.18974280357361
-7.1419e-06,6.88e-07,-0.0024794,-0.000149007,63.53021812438965
-7.2663e-06,5.61e-07,-0.002454,-0.000149236,64.89495801925659
-7.0175e-06,3.82e-07,-0.0025048,-0.000148956,66.24033784866333
-7.0424e-06,3.57e-07,-0.0024794,-0.000149019,67.57006573677063
-7.0672e-06,2.29e-07,-0.0024413,-0.000149147,68.91738510131836
-7.0175e-06,2.29e-07,-0.0024667,-0.000148752,70.26381707191467
-6.893e-06,3.19e-07,-0.002454,-0.000149109,71.59061908721924
-6.9428e-06,4.08e-07,-0.0024286,-0.000148854,72.93846559524536
-7.1917e-06,4.97e-07,-0.002454,-0.000149045,74.28833794593811
-7.117e-06,3.95e-07,-0.0024286,-0.000149007,75.62032699584961
-6.9428e-06,3.7e-07,-0.0024031,-0.000149109,76.9618010520935
-6.9677e-06,2.8e-07,-0.0024413,-0.000149019,78.30138158798218
-6.8682e-06,4.72e-07,-0.0023904,-0.000149147,79.65430331230164
-6.9428e-06,1.91e-07,-0.0024286,-0.000149058,80.99850702285767
-7.0424e-06,1.78e-07,-0.0024031,-0.000149096,82.33117580413818
-6.9428e-06,4.08e-07,-0.0024413,-0.000149109,83.68642354011536
-6.8433e-06,3.06e-07,-0.002454,-0.000148637,85.02297234535217
-7.0424e-06,4.21e-07,-0.0024031,-0.000148765,86.3603880405426
-6.8433e-06,2.29e-07,-0.0024413,-0.000149134,87.74828314781189
-6.893e-06,6.88e-07,-0.0023904,-0.000149185,89.09089684486389
-7.0424e-06,4.46e-07,-0.0023904,-0.000148854,90.43093299865723
-6.893e-06,3.95e-07,-0.0023777,-0.000148943,91.76782774925232
-6.7935e-06,5.99e-07,-0.0024031,-0.000148981,93.11117577552795
-7.0175e-06,1.27e-07,-0.0024794,-0.000148943,94.4503026008606
-6.9428e-06,1.4e-07,-0.0024286,-0.000148867,95.7982075214386
-7.117e-06,4.33e-07,-0.0024286,-0.000148854,97.16150283813477
-7.0175e-06,1.66e-07,-0.002454,-0.000148752,98.50059032440186
-7.0672e-06,3.57e-07,-0.0024031,-0.000149223,99.838463306427
-7.117e-06,2.93e-07,-0.0024158,-0.000148701,101.17871761322021
-6.9428e-06,5.74e-07,-0.0024286,-0.00014893,102.52074527740479
-7.0424e-06,3.19e-07,-0.0024667,-0.000148637,103.86543321609497
-7.0672e-06,1.66e-07,-0.0024158,-0.000148739,105.20999121665955
-7.0424e-06,2.29e-07,-0.0024031,-0.000148841,106.5564033985138
-7.0175e-06,2.04e-07,-0.0024413,-0.000149019,107.89923310279846
-6.9926e-06,1.4e-07,-0.0024286,-0.000148624,109.24069023132324
-6.9677e-06,3.31e-07,-0.0024158,-0.000149045,110.57110357284546
-6.8682e-06,3.44e-07,-0.002454,-0.000148561,111.92092514038086
-7.0424e-06,7.52e-07,-0.0024031,-0.000148918,113.27979731559753
-6.694e-06,4.21e-07,-0.0024413,-0.00014893,114.62080478668213
-7.0424e-06,6.4e-08,-0.0024031,-0.000148675,115.95780563354492
-6.9926e-06,4.46e-07,-0.0024667,-0.00014879,117.29004979133606
-6.9677e-06,-2.5e-08,-0.0024413,-0.000148637,118.63444995880127
-6.9428e-06,3.57e-07,-0.0024158,-0.00014879,120.00056791305542
-6.9428e-06,4.33e-07,-0.0023777,-0.000148714,121.34051275253296
