Current,Ground,Time,Voltage
-4.977e-07,2.04e-07,1.17964506149292,-3.378e-06
-6.47e-07,2.5e-08,2.276711940765381,-2.664e-06
-3.733e-07,1.91e-07,3.3349106311798096,-3.365e-06
-4.479e-07,3.31e-07,4.379440784454346,-2.881e-06
-4.479e-07,-1.3e-08,5.428705453872681,-2.855e-06
-4.977e-07,8.9e-08,6.489052057266235,-3.276e-06
-4.977e-07,5.48e-07,7.538265943527222,-3.123e-06
-5.226e-07,3.8e-08,8.604746580123901,-3.263e-06
-4.728e-07,-7.6e-08,9.654332160949707,-3.365e-06
-5.475e-07,-2.5e-08,10.718379259109497,-2.753e-06
-3.982e-07,3.44e-07,11.76182222366333,-3.199e-06
-5.226e-07,4.33e-07,12.810176610946655,-3.097e-06
-4.23e-07,-1.27e-07,13.86909008026123,-3.034e-06
-3.235e-07,2.68e-07,14.918887376785278,-3.123e-06
-5.226e-07,0.0,15.968802452087402,-3.314e-06
-4.23e-07,-2.29e-07,17.029353618621826,-2.817e-06
-3.484e-07,3.7e-07,18.07949447631836,-3.225e-06
-5.723e-07,7.6e-08,19.138705015182495,-3.263e-06
-5.723e-07,3.95e-07,20.199303150177002,-3.301e-06
-4.728e-07,1.78e-07,21.241496324539185,-3.403e-06
-4.23e-07,6.37e-07,22.299211025238037,-3.085e-06
-5.226e-07,0.0,23.349636554718018,-3.136e-06
-7.217e-07,1.3e-08,24.38892102241516,-2.983e-06
-4.977e-07,-8.9e-08,25.449541568756104,-2.779e-06
-6.47e-07,7.52e-07,26.499157428741455,-3.289e-06
-3.733e-07,3.57e-07,27.540425062179565,-3.11e-06
-3.733e-07,1.02e-07,28.598954439163208,-3.212e-06
-4.977e-07,2.93e-07,29.649331092834473,-2.983e-06
-4.728e-07,-3.8e-08,30.70249843597412,-3.352e-06
-4.479e-07,4.08e-07,31.755931854248047,-2.957e-06
-5.226e-07,5.23e-07,32.81637120246887,-3.301e-06
-4.728e-07,2.29e-07,33.85986304283142,-3.327e-06
-5.226e-07,3.95e-07,34.90944695472717,-3.314e-06
-4.977e-07,5.99e-07,35.9691743850708,-3.25e-06
-6.47e-07,1.78e-07,37.010098457336426,-3.429e-06
-3.982e-07,-2.5e-08,38.0695161819458,-2.983e-06
-6.47e-07,1.3e-08,39.12992286682129,-3.314e-06
-4.977e-07,7.6e-08,40.17909908294678,-3.301e-06
-4.977e-07,2.04e-07,41.229323863983154,-3.008e-06
-5.723e-07,3.57e-07,42.29236674308777,-3.518e-06
-5.972e-07,3.7e-07,43.33982276916504,-3.442e-06
-6.47e-07,6.25e-07,44.39047384262085,-3.276e-06
-5.475e-07,2.93e-07,45.460450172424316,-3.174e-06
-5.723e-07,1.53e-07,46.509782791137695,-3.391e-06
-3.235e-07,2.8e-07,47.560346364974976,-3.582e-06
-5.226e-07,4.21e-07,48.61004996299744,-3.582e-06
-3.484e-07,4.59e-07,49.669352531433105,-3.582e-06
-5.972e-07,5.48e-07,50.71877980232239,-3.569e-06
-4.23e-07,2.29e-07,51.76682209968567,-3.148e-06
-5.226e-07,4.21e-07,52.82721018791199,-3.199e-06
-5.226e-07,2.04e-07,53.86901521682739,-3.021e-06
-4.728e-07,1.4e-07,54.92037224769592,-3.212e-06
-5.226e-07,5.1e-08,55.99001359939575,-3.021e-06
-3.982e-07,1.66e-07,57.03084635734558,-3.187e-06
-5.226e-07,1.91e-07,58.080272912979126,-3.059e-06
-5.972e-07,-1.3e-08,59.13890552520752,-3.671e-06
-4.977e-07,2.17e-07,60.18049120903015,-3.391e-06
-6.719e-07,2.17e-07,61.23630928993225,-3.365e-06
-5.723e-07,5.1e-08,62.291258096694946,-3.148e-06
-5.972e-07,3.95e-07,63.331899881362915,-3.391e-06
-3.733e-07,2.17e-07,64.39042329788208,-3.059e-06
-4.23e-07,1.91e-07,65.44999480247498,-3.595e-06
-5.226e-07,6.4e-08,66.49174857139587,-3.658e-06
-4.23e-07,4.46e-07,67.54072189331055,-3.671e-06
-4.977e-07,7.6e-08,68.60959696769714,-3.556e-06
-5.972e-07,3.7e-07,69.660653591156,-3.518e-06
-5.723e-07,6.4e-08,70.71346759796143,-3.199e-06
-4.977e-07,1.27e-07,71.76709747314453,-3.021e-06
-5.972e-07,-2.5e-08,72.82766199111938,-3.187e-06
-6.968e-07,4.97e-07,73.8775806427002,-3.531e-06
-7.465e-07,1.02e-07,74.94742321968079,-3.263e-06
-5.475e-07,3.44e-07,76.00041127204895,-3.212e-06
-6.221e-07,3.06e-07,77.04083013534546,-3.747e-06
-4.23e-07,1.78e-07,78.09048819541931,-3.48e-06
-6.47e-07,5.86e-07,79.15201473236084,-3.352e-06
-5.475e-07,0.0,80.20068860054016,-3.607e-06
-5.972e-07,1.02e-07,81.25023102760315,-3.454e-06
-5.972e-07,-6.4e-08,82.3104567527771,-3.403e-06
-4.23e-07,4.72e-07,83.35040998458862,-3.556e-06
-5.475e-07,5.1e-08,84.40275573730469,-3.454e-06
-4.479e-07,3.44e-07,85.47060036659241,-3.365e-06
-4.479e-07,-1.15e-07,86.51028299331665,-3.76e-06
-3.982e-07,-2.04e-07,87.56088662147522,-3.62e-06
-4.728e-07,6.4e-08,88.62097692489624,-3.416e-06
-5.723e-07,2.93e-07,89.66040134429932,-3.939e-06
-4.728e-07,-6.4e-08,90.72007441520691,-3.607e-06
-5.723e-07,2.04e-07,91.77799487113953,-3.25e-06
-4.23e-07,4.46e-07,92.8287193775177,-3.34e-06
-3.235e-07,-3.8e-08,93.88799381256104,-3.62e-06
-4.728e-07,1.78e-07,94.93775081634521,-3.391e-06
-5.972e-07,1.15e-07,95.97936511039734,-3.301e-06
-4.23e-07,-1.91e-07,97.04430484771729,-3.48e-06
-5.972e-07,-3.8e-08,98.1008780002594,-3.747e-06
-4.23e-07,1.91e-07,99.14913082122803,-3.696e-06
-4.977e-07,-7.6e-08,100.20229077339172,-3.531e-06
-4.728e-07,8.9e-08,101.25072050094604,-3.467e-06
-6.221e-07,2.04e-07,102.30120992660522,-3.658e-06
-5.226e-07,7.6e-08,103.3524398803711,-3.544e-06
-5.226e-07,2.17e-07,104.41199922561646,-3.607e-06
-6.221e-07,1.78e-07,105.45479321479797,-3.493e-06
-6.47e-07,1.27e-07,106.51146864891052,-3.62e-06
-5.226e-07,3.19e-07,107.56138110160828,-3.9e-06
-4.977e-07,5.1e-08,108.60148167610168,-3.684e-06
-7.217e-07,-1.66e-07,109.66077303886414,-3.301e-06
-6.47e-07,1.91e-07,110.71590232849121,-3.505e-06
-5.972e-07,-6.4e-08,111.76164555549622,-3.696e-06
-4.479e-07,-1.15e-07,112.8092315196991,-3.735e-06
-5.723e-07,4.59e-07,113.85953140258789,-3.646e-06
-6.47e-07,-2.5e-08,114.89970469474792,-3.773e-06
-5.723e-07,2.55e-07,115.95836281776428,-3.709e-06
-6.221e-07,3.82e-07,117.01271605491638,-3.646e-06
-6.719e-07,3.8e-08,118.06229782104492,-3.773e-06
-5.226e-07,1.02e-07,119.11185145378113,-3.76e-06
-5.972e-07,2.04e-07,120.1617283821106,-3.518e-06
-6.221e-07,1.27e-07,121.23373103141785,-4.219e-06
-4.23e-07,1.02e-07,122.28167009353638,-3.977e-06
-6.221e-07,-1.4e-07,123.34244346618652,-3.671e-06
-6.719e-07,-2.68e-07,124.40169882774353,-3.798e-06
-6.719e-07,-1.53e-07,125.44222664833069,-3.76e-06
-6.221e-07,4.46e-07,126.49627351760864,-3.786e-06
-4.479e-07,2.04e-07,127.55165243148804,-3.735e-06
-5.972e-07,2.55e-07,128.60696291923523,-3.99e-06
-5.475e-07,3.44e-07,129.6519091129303,-3.773e-06
-5.475e-07,1.27e-07,130.72757744789124,-3.658e-06
-7.217e-07,5.1e-08,131.769672870636,-3.837e-06
-5.475e-07,-8.9e-08,132.81905126571655,-3.99e-06
-3.982e-07,-3.8e-08,133.86954879760742,-3.875e-06
-6.968e-07,-2.29e-07,134.91966152191162,-3.684e-06
-4.479e-07,-2.5e-08,135.96904945373535,-3.786e-06
-4.728e-07,-1.3e-08,137.02873921394348,-3.939e-06
-5.475e-07,-1.15e-07,138.079110622406,-4.028e-06
-4.23e-07,-1.27e-07,139.12279105186462,-3.646e-06
-4.977e-07,1.66e-07,140.1808042526245,-3.926e-06
-4.479e-07,4.72e-07,141.2401213645935,-3.964e-06
-5.226e-07,8.9e-08,142.28288412094116,-4.117e-06
-5.972e-07,3.8e-08,143.33690428733826,-3.786e-06
-6.221e-07,3.8e-08,144.39149570465088,-3.824e-06
-5.475e-07,2.5e-08,145.44216465950012,-3.977e-06
-5.226e-07,2.04e-07,146.49122166633606,-3.747e-06
-5.723e-07,3.44e-07,147.55144262313843,-3.811e-06
-4.728e-07,2.42e-07,148.60325264930725,-3.747e-06
-5.723e-07,3.44e-07,149.6623318195343,-3.837e-06
-7.465e-07,1.78e-07,150.72028803825378,-3.849e-06
-5.475e-07,4.21e-07,151.76352834701538,-4.181e-06
-6.221e-07,3.19e-07,152.8222107887268,-3.824e-06
-4.479e-07,1.27e-07,153.8732087612152,-4.104e-06
-6.968e-07,-1.91e-07,154.9225070476532,-4.283e-06
-7.465e-07,1.91e-07,155.97209978103638,-4.194e-06
-5.226e-07,4.08e-07,157.04123973846436,-4.219e-06
-5.723e-07,-3.8e-08,158.0821177959442,-4.066e-06
-6.719e-07,-2.5e-08,159.13190937042236,-4.079e-06
-5.972e-07,4.84e-07,160.19166207313538,-3.977e-06
-5.972e-07,-3.44e-07,161.23788022994995,-3.939e-06
-5.972e-07,1.78e-07,162.29221725463867,-4.053e-06
-7.714e-07,-6.4e-08,163.3520588874817,-4.423e-06
-8.461e-07,4.46e-07,164.40238404273987,-3.99e-06
-6.968e-07,3.19e-07,165.4508762359619,-4.257e-06
-4.977e-07,2.93e-07,166.5123975276947,-4.015e-06
-5.475e-07,2.68e-07,167.5628399848938,-3.913e-06
-6.221e-07,1.15e-07,168.6159210205078,-4.066e-06
-6.221e-07,-1.02e-07,169.6719000339508,-4.015e-06
-5.475e-07,1.3e-08,170.73245334625244,-3.9e-06
-7.217e-07,5.1e-08,171.76947259902954,-3.977e-06
-5.723e-07,-3.8e-08,172.83016920089722,-4.321e-06
-6.719e-07,3.44e-07,173.89215803146362,-3.964e-06
-5.475e-07,2.42e-07,174.93184614181519,-4.219e-06
-7.465e-07,6.4e-08,175.99337339401245,-3.837e-06
-6.221e-07,-2.04e-07,177.05198979377747,-4.194e-06
-6.47e-07,1.91e-07,178.10353064537048,-4.002e-06
-5.723e-07,-1.3e-08,179.16325998306274,-4.219e-06
-5.226e-07,2.8e-07,180.22275519371033,-4.308e-06
-7.217e-07,3.57e-07,181.28207230567932,-4.423e-06
-6.221e-07,-8.9e-08,182.33626747131348,-4.143e-06
-6.968e-07,2.55e-07,183.38333535194397,-4.372e-06
-4.977e-07,2.04e-07,184.45449328422546,-4.678e-06
-6.719e-07,2.17e-07,185.5123598575592,-4.117e-06
-5.723e-07,2.04e-07,186.5822103023529,-4.053e-06
-6.221e-07,7.6e-08,187.63596177101135,-4.742e-06
-6.968e-07,7.39e-07,188.69265604019165,-4.665e-06
-5.723e-07,2.04e-07,189.7373251914978,-3.951e-06
-6.719e-07,-5.1e-08,190.79219555854797,-4.41e-06
-6.221e-07,2.42e-07,191.84499549865723,-4.41e-06
-6.968e-07,-2.42e-07,192.890367269516,-4.423e-06
-6.221e-07,1.78e-07,193.9597930908203,-4.551e-06
-6.47e-07,3.57e-07,195.0117905139923,-4.436e-06
-6.968e-07,-2.8e-07,196.06554341316223,-4.334e-06
-6.221e-07,4.21e-07,197.11300492286682,-4.449e-06
-6.47e-07,2.04e-07,198.1744155883789,-4.423e-06
-5.972e-07,2.17e-07,199.2155168056488,-4.5e-06
-6.47e-07,-2.55e-07,200.27386116981506,-4.525e-06
-6.47e-07,-1.3e-08,201.33270263671875,-4.691e-06
-5.972e-07,6.4e-08,202.3733105659485,-4.423e-06
-6.47e-07,1.4e-07,203.42797231674194,-4.155e-06
-7.963e-07,-1.53e-07,204.49247932434082,-4.308e-06
-6.221e-07,3.19e-07,205.54371523857117,-4.206e-06
-5.475e-07,-5.1e-08,206.60310006141663,-4.512e-06
