Power,TEG_data
2.98187390925e-08,2.5299914549444885e-05
3.06502019425e-08,2.4164031899626435e-05
3.09434192418e-08,2.4983490096995527e-05
3.02496307353e-08,2.3336460254758833e-05
2.9660672439000002e-08,2.1162056325106334e-05
3.01713666304e-08,1.7746294928152446e-05
3.02864727472e-08,1.5888315450949387e-05
2.989421253e-08,2.0229009862755522e-05
3.0616697151800005e-08,1.6302101273383282e-05
3.0128471646e-08,1.62047399033988e-05
3.0447993335200005e-08,1.4963382436097302e-05
3.05734172575e-08,1.5993790268432542e-05
3.0966705017e-08,1.588831545094944e-05
3.05142769424e-08,1.1336671404176967e-05
3.02104903074e-08,7.5152376322878826e-06
2.9587677472800003e-08,5.851980895053735e-06
3.11739996722e-08,7.718073819755467e-06
3.02370411882e-08,4.4077872402845716e-06
3.0050479625e-08,1.1847818596595291e-05
3.1212493031e-08,8.440170647140184e-06
3.01286179455e-08,9.170380922023303e-06
3.06050085194e-08,8.651120282106306e-06
3.08528148291e-08,1.3511075333829357e-05
2.9149009754099998e-08,8.342809277155647e-06
2.98373810004e-08,1.3097289511395489e-05
3.0493458811199994e-08,1.3202764328878753e-05
3.07768565984e-08,1.639946264336782e-05
3.0088953841499996e-08,1.2586142318977273e-05
3.0607804777600004e-08,1.5271693441047934e-05
2.9714664046200006e-08,8.334695829656866e-06
3.05082921988e-08,9.689641561940328e-06
3.0692430490800006e-08,1.568547926348183e-05
3.05300656367e-08,1.391674770876458e-05
3.110837911470001e-08,1.3511075333829412e-05
3.07540742976e-08,1.1133835216709382e-05
3.06927070112e-08,1.506885725358035e-05
3.01606567713e-08,1.1961406861577093e-05
3.04167649705e-08,1.6813248465801525e-05
3.01173245457e-08,1.8987652395453835e-05
3.1321184937999996e-08,1.609115163841708e-05
3.03274896548e-08,1.5685479263481884e-05
3.09483164576e-08,1.4646957983647862e-05
3.0748082420800004e-08,1.4646957983647862e-05
3.01511730402e-08,1.3608436703813894e-05
3.08673493502e-08,1.4233172161213966e-05
3.0624559138e-08,1.5474529628515518e-05
2.98367952651e-08,1.6302101273383228e-05
2.98659410454e-08,1.5474529628515518e-05
3.0287136424599996e-08,1.4646957983647862e-05
3.0025543548000006e-08,1.2066881679060248e-05
2.99579391097e-08,1.5166218623564778e-05
2.98446960009e-08,1.2164243049044731e-05
2.94504265042e-08,9.373217109490942e-06
3.0141727535e-08,1.123119658669392e-05
3.12774265068e-08,1.2683503688961593e-05
3.13685409548e-08,9.170380922023303e-06
3.07260264608e-08,5.02440925018597e-06
3.00283328686e-08,6.371241534970705e-06
3.1409927367e-08,5.032522697684806e-06
3.14017393456e-08,6.5821911699370165e-06
3.05817855555e-08,5.02440925018597e-06
3.0583592267900004e-08,3.8966400478663015e-06
3.0414735293600006e-08,4.716098245235312e-06
3.02374608515e-08,-2.001836283690745e-06
3.0025237222199994e-08,1.9250723056814408e-06
3.11673109214e-08,-1.9044749137063163e-06
3.017225484e-08,-9.633150038567502e-07
2.9884455988199995e-08,-4.695500853260187e-06
3.04541049516e-08,-5.523072498127843e-06
3.0111912558000004e-08,-5.31212286316164e-06
3.0477754101999996e-08,-8.516934625149271e-06
3.1072906147e-08,-1.385214273789346e-06
3.0697762695600005e-08,-6.448005512980036e-06
3.042780686400001e-08,-5.576426289215816e-07
3.0367041788599995e-08,-2.9348827460415566e-06
3.03845919588e-08,-4.387189848309447e-06
3.0367115491300004e-08,-5.576426289215816e-07
2.99922018813e-08,-4.4405436393975283e-07
3.04657926895e-08,1.308450295780042e-06
2.9495198843400004e-08,4.0913627878354025e-06
2.93551645484e-08,2.7526439505492052e-06
2.982352530290001e-08,6.582191169937071e-06
2.99496157928e-08,7.823548637238677e-06
3.0874715323e-08,8.131859642189336e-06
3.0300254377799996e-08,1.5782840633466258e-05
3.00547303428e-08,1.2578028871478627e-05
3.022652576e-08,1.5580004445998728e-05
2.9497537497600002e-08,1.2164243049044677e-05
3.00245487843e-08,1.3405600516346337e-05
2.99037007563e-08,1.8476505203035673e-05
2.9277296730000003e-08,1.9198602030420173e-05
2.9404576438499998e-08,2.2817199614841917e-05
3.0079993869e-08,2.1056581507623233e-05
3.0138143802e-08,2.3230985437275623e-05
3.0269270304000004e-08,2.4269506717109645e-05
3.0200324384e-08,2.14703673300571e-05
3.06516699851e-08,2.0853745320155702e-05
3.0474713624e-08,2.4886128727011098e-05
3.0481337835e-08,2.623296101179578e-05
3.073332517e-08,2.643579719926331e-05
3.01714514222e-08,2.1267531142589544e-05
3.02684809815e-08,2.241152723990664e-05
2.86926267788e-08,1.961238785285407e-05
2.9832058053e-08,1.9815224040321654e-05
2.9827311534e-08,1.6821361913300307e-05
3.07801137059e-08,1.8573866573020156e-05
3.05112366755e-08,1.961238785285407e-05
2.9410207106399997e-08,1.9101240660435853e-05
3.0375439367700003e-08,1.7543458740684807e-05
3.0385211766e-08,1.3511075333829357e-05
3.00396577644e-08,1.6610412278334022e-05
3.0070505556e-08,1.3819386338780206e-05
2.982352530290001e-08,1.4233172161213966e-05
2.90536667233e-08,1.1442146221660122e-05
2.9388379516200003e-08,1.5782840633466312e-05
2.8915132797000002e-08,1.3722024968795615e-05
2.91827547e-08,5.032522697684752e-06
2.8605277310999998e-08,6.2738801649862765e-06
2.94465548025e-08,3.580215595416807e-06
2.91267199575e-08,2.858118768032361e-06
2.96538079356e-08,4.927047880201596e-06
2.95994667375e-08,-2.493316239708958e-07
2.93893570575e-08,-3.243193750992405e-06
2.9881280060099997e-08,-7.486526792814031e-06
3.02565289505e-08,-3.1377189335092493e-06
3.02194532625e-08,-8.419573255164843e-06
3.0466333197300006e-08,-4.79286222324467e-06
2.99795325088e-08,-1.2654792849487877e-05
3.03392332448e-08,-1.2760267666970978e-05
2.94465011067e-08,-1.5754129793992406e-05
2.99329507146e-08,-1.855326918104487e-05
3.0246433745100004e-08,-1.916989119094635e-05
3.04998945568e-08,-1.9064416373463356e-05
3.0280284022800004e-08,-2.2374702952934143e-05
2.97939578358e-08,-2.3413224232767975e-05
3.00426484666e-08,-2.9409061934309585e-05
3.0329612586e-08,-2.9717372939260352e-05
3.0045669662e-08,-3.1680827233946404e-05
3.0284026127e-08,-2.9409061934309585e-05
3.00137732565e-08,-3.1891776868912716e-05
3.1322401674199997e-08,-3.3441445341164926e-05
2.95605605712e-08,-3.551037445333427e-05
2.920843233e-08,-3.3855231163598795e-05
2.9406936998999998e-08,-3.529942481836801e-05
3.0115396031599996e-08,-3.405806735106638e-05
-3.8991028783455e-06,-3.675173192063574e-05
0.0005219476404241279,-3.736835393053733e-05
0.00052191545914158,-3.1786302051429614e-05
