Time,Current,TEG2,TEG1,Supply_voltage
1.6611661911010742,5.342e-07,3.98e-05,-2.4558e-05,0.000214918
3.2043204307556152,7.122e-07,4.0047e-05,-2.3831e-05,0.000240906
4.694469451904297,7.377e-07,3.9878e-05,-2.4143e-05,0.000215438
6.207620620727539,4.833e-07,4.045e-05,-2.4234e-05,0.000207902
7.692769289016724,7.122e-07,3.9904e-05,-2.3701e-05,0.000229861
9.176917552947998,4.833e-07,3.9943e-05,-2.3948e-05,0.000215048
10.6600661277771,5.087e-07,4.0112e-05,-2.4078e-05,0.000198546
12.145214557647705,7.122e-07,3.9618e-05,-2.4169e-05,0.000195947
13.632363080978394,5.342e-07,3.9904e-05,-2.374e-05,0.000181914
15.128512859344482,7.885e-07,3.9488e-05,-2.4013e-05,0.000230121
16.616661548614502,6.359e-07,4.0177e-05,-2.3896e-05,0.000203224
18.11281108856201,6.613e-07,4.0346e-05,-2.4376e-05,0.000180875
19.612961053848267,4.833e-07,3.9904e-05,-2.4065e-05,0.000200755
21.102109909057617,3.307e-07,4.0099e-05,-2.3649e-05,0.000181264
22.592259168624878,6.359e-07,3.9839e-05,-2.4078e-05,0.000209331
24.086408376693726,5.596e-07,4.0255e-05,-2.3948e-05,0.000155796
25.57755756378174,6.868e-07,3.9943e-05,-2.4234e-05,0.000227782
27.068706512451172,5.596e-07,3.9969e-05,-2.4143e-05,0.000192179
28.55685520172119,5.342e-07,3.9904e-05,-2.3532e-05,0.000209461
30.056005477905273,9.666e-07,3.9904e-05,-2.3714e-05,0.000199586
31.54215407371521,5.087e-07,4.0255e-05,-2.3818e-05,0.000167621
33.042304039001465,6.359e-07,4.0294e-05,-2.4286e-05,0.000202314
34.531452894210815,6.105e-07,4.032e-05,-2.426e-05,0.000206862
36.02160167694092,6.105e-07,4.0008e-05,-2.3636e-05,0.00021206
37.53375315666199,4.833e-07,4.0021e-05,-2.4182e-05,0.000161774
39.027902364730835,4.833e-07,3.9852e-05,-2.3987e-05,0.000186722
40.533052921295166,6.613e-07,3.9696e-05,-2.4273e-05,0.000206732
42.020201683044434,6.868e-07,4.032e-05,-2.3961e-05,0.000195298
43.51935148239136,6.105e-07,4.0008e-05,-2.3792e-05,0.000186072
45.00850057601929,6.105e-07,3.9904e-05,-2.4091e-05,0.000221805
46.50665020942688,6.359e-07,3.9904e-05,-2.3922e-05,0.000184513
48.00279998779297,4.833e-07,4.0112e-05,-2.3363e-05,0.000183473
49.48494791984558,8.648e-07,4.0359e-05,-2.3948e-05,0.000186202
50.98309779167175,7.122e-07,4.0489e-05,-2.3909e-05,0.000206862
52.47024631500244,5.342e-07,3.9865e-05,-2.4052e-05,0.000195558
53.95639491081238,6.359e-07,3.9657e-05,-2.4052e-05,0.00018971
55.442543506622314,6.613e-07,3.9904e-05,-2.3805e-05,0.000205433
56.93469285964966,5.087e-07,4.0099e-05,-2.4039e-05,0.000207902
58.41984152793884,5.596e-07,4.0567e-05,-2.3805e-05,0.000224794
59.91299080848694,5.596e-07,4.0385e-05,-2.3714e-05,0.000197637
61.41314077377319,4.324e-07,4.0034e-05,-2.3987e-05,0.000175027
62.902289628982544,5.087e-07,3.9852e-05,-2.3831e-05,0.000184513
64.39543890953064,3.815e-07,3.9982e-05,-2.3818e-05,0.000184643
65.8905885219574,3.561e-07,4.0021e-05,-2.4052e-05,0.000197377
67.38773822784424,4.324e-07,3.9748e-05,-2.3935e-05,0.000177106
68.89088845252991,2.798e-07,3.98e-05,-2.3688e-05,0.000180225
70.37603688240051,2.798e-07,3.9904e-05,-2.387e-05,0.000155796
71.86318564414978,5.85e-07,4.0021e-05,-2.387e-05,0.000144362
73.3543348312378,5.85e-07,3.9995e-05,-2.3688e-05,0.000128899
74.84348368644714,4.324e-07,4.0346e-05,-2.3844e-05,0.000143712
76.3326325416565,3.815e-07,4.0099e-05,-2.3558e-05,0.000154367
