Base,Temp,Time
-1.3e-07,-0.000137605,0.31000232696533203
2.6e-07,-0.000136825,0.6200039386749268
0.0,-0.000137865,0.9291422367095947
-3.9e-07,-0.000137215,1.2354674339294434
1.3e-07,-0.000137345,1.5454378128051758
0.0,-0.000136955,1.8667588233947754
-3.9e-07,-0.000137085,2.1706180572509766
5.2e-07,-0.000137085,2.4706761837005615
3.9e-07,-0.000136306,2.78705096244812
0.0,-0.000136825,3.0954158306121826
2.6e-07,-0.000137215,3.4057271480560303
1.3e-07,-0.000136695,3.715426206588745
-1.3e-07,-0.000136825,4.025411367416382
-6.5e-07,-0.000137085,4.327062606811523
-2.6e-07,-0.000136825,4.636800765991211
1.3e-07,-0.000137345,4.958842039108276
-3.9e-07,-0.000136436,5.261464357376099
7.8e-07,-0.000137345,5.56764030456543
0.0,-0.000137475,5.877767562866211
0.0,-0.000137215,6.187631607055664
-2.6e-07,-0.000137345,6.507649183273315
3.9e-07,-0.000138255,6.807637929916382
0.0,-0.000137865,7.113049268722534
-3.9e-07,-0.000138385,7.423060178756714
3.9e-07,-0.000137085,7.743290901184082
-7.8e-07,-0.000137475,8.056056022644043
9.1e-07,-0.000136955,8.366549253463745
-9.1e-07,-0.000136955,8.66752552986145
0.0,-0.000138255,8.977511644363403
-3.9e-07,-0.000137605,9.287515640258789
-2.6e-07,-0.000137345,9.597517013549805
-7.8e-07,-0.000137605,9.91777753829956
-3.9e-07,-0.000137475,10.224218368530273
0.0,-0.000137215,10.534225702285767
1.3e-07,-0.000137865,10.844253063201904
7.8e-07,-0.000138125,11.147207260131836
-6.5e-07,-0.000136825,11.4672110080719
1.3e-07,-0.000136565,11.778019666671753
3.9e-07,-0.000137865,12.08526611328125
0.0,-0.000136955,12.392709732055664
-1.3e-07,-0.000137085,12.702996492385864
-3.9e-07,-0.000137085,13.022705793380737
-3.9e-07,-0.000137215,13.328296184539795
0.0,-0.000137605,13.628300666809082
1.3e-07,-0.000137085,13.938300371170044
1.3e-07,-0.000137085,14.24301028251648
-3.9e-07,-0.000136825,14.556489944458008
1.3e-07,-0.000138125,14.876460075378418
3.9e-07,-0.000137345,15.17640233039856
2.6e-07,-0.000137605,15.486676454544067
-2.6e-07,-0.000137475,15.796368598937988
1.3e-07,-0.000136955,16.09392762184143
2.6e-07,-0.000136695,16.393930673599243
-2.6e-07,-0.000137605,16.693946599960327
-6.5e-07,-0.000137605,17.013933181762695
1.3e-07,-0.000138255,17.32326650619507
0.0,-0.000137735,17.62693476676941
0.0,-0.000137345,17.93687868118286
-9.1e-07,-0.000137345,18.2389817237854
-9.1e-07,-0.000137345,18.54921245574951
-6.5e-07,-0.000137865,18.868946075439453
1.3e-07,-0.000137345,19.18523669242859
1.3e-07,-0.000137085,19.488471269607544
0.0,-0.000137475,19.799163818359375
2.6e-07,-0.000137735,20.102168798446655
0.0,-0.000137735,20.415634632110596
-3.9e-07,-0.000137995,20.736672401428223
5.2e-07,-0.000137345,21.03645610809326
0.0,-0.000137605,21.346497535705566
2.6e-07,-0.000137345,21.656700134277344
-3.9e-07,-0.000137605,21.966572284698486
1.3e-07,-0.000136955,22.284030199050903
-2.6e-07,-0.000137605,22.58646249771118
-1.3e-07,-0.000137605,22.902724504470825
3.9e-07,-0.000137865,23.217618703842163
-2.6e-07,-0.000137865,23.531325101852417
6.5e-07,-0.000137345,23.837125539779663
-3.9e-07,-0.000137995,24.146833896636963
-5.2e-07,-0.000136955,24.458104848861694
-1.3e-07,-0.000137735,24.75804853439331
0.0,-0.000138125,25.075567483901978
