Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
-0.003022839,-8.8092e-06,-0.002999386,-0.013829416,-0.014467813,472.6581175327301
-0.003056618,-8.7096e-06,-0.003015701,-0.013718318,-0.014351424,474.4350006580353
-0.003016721,-8.9087e-06,-0.003021692,-0.013607907,-0.014234564,476.20265889167786
-0.003038518,-8.6599e-06,-0.003030105,-0.013498413,-0.014120865,477.97596764564514
-0.003006524,-8.7345e-06,-0.002999896,-0.013389468,-0.0140063,479.7433180809021
-0.003027811,-8.6599e-06,-0.003038008,-0.013281671,-0.013892371,481.52552580833435
-0.003026408,-8.7345e-06,-0.003036861,-0.013173708,-0.01377829,483.3135006427765
-0.003059167,-8.9087e-06,-0.003021182,-0.013066982,-0.013666057,485.1036431789398
-0.003023987,-8.834e-06,-0.003009328,-0.012960319,-0.013554153,486.8634395599365
-0.003063628,-8.6847e-06,-0.003048332,-0.01285669,-0.013445222,488.65433621406555
-0.003047568,-8.7594e-06,-0.003027683,-0.012752627,-0.013336813,490.41366744041443
-0.003069874,-8.5354e-06,-0.003059932,-0.012650133,-0.013229551,492.18984723091125
-0.003079944,-8.5852e-06,-0.003026918,-0.012548721,-0.013123665,493.95410656929016
-0.002963441,-8.5603e-06,-0.003010348,-0.012448443,-0.013018991,495.72342705726624
-0.002982815,-8.7843e-06,-0.00299467,-0.012348358,-0.012914406,497.49582171440125
-0.002980011,-8.6101e-06,-0.003002445,-0.012249687,-0.012809783,499.2861444950104
-0.003060952,-8.7345e-06,-0.003069619,-0.012151093,-0.012707594,501.05666995048523
-0.003043616,-8.7096e-06,-0.003050882,-0.01205399,-0.012605316,502.82815527915955
-0.003013789,-8.7345e-06,-0.003027938,-0.011957257,-0.012505012,504.60576820373535
-0.003009838,-8.5852e-06,-0.003049607,-0.011861594,-0.012404098,506.3751871585846
-0.003041322,-8.7843e-06,-0.003032527,-0.011766454,-0.012304574,508.1523699760437
-0.003058147,-8.7345e-06,-0.003032527,-0.011672104,-0.012203366,509.93396639823914
-0.003072041,-8.7345e-06,-0.003025006,-0.011578277,-0.012103599,511.7140488624573
-0.003073698,-8.7096e-06,-0.003101358,-0.011484692,-0.012005579,513.4928267002106
-0.003057,-8.7594e-06,-0.003046675,-0.011392574,-0.01190975,515.2737810611725
-0.003061079,-8.7843e-06,-0.003083895,-0.011301144,-0.01181345,517.0700540542603
-0.003061079,-8.5354e-06,-0.003072296,-0.011210057,-0.011720962,518.8369190692902
-0.003041959,-8.6847e-06,-0.003040557,-0.011120296,-0.011627848,520.6055309772491
-0.003049862,-8.7843e-06,-0.003092435,-0.011031784,-0.01153601,522.4036591053009
-0.003068472,-8.6847e-06,-0.003105819,-0.010941615,-0.011443611,524.1722049713135
-0.003077904,-8.7594e-06,-0.003068982,-0.010854123,-0.011353646,525.9356122016907
-0.003031252,-8.834e-06,-0.003008563,-0.010767919,-0.011265198,527.7008395195007
-0.003011877,-8.7594e-06,-0.003053049,-0.010681153,-0.011176342,529.4756805896759
-0.003074208,-8.7096e-06,-0.003082748,-0.010595,-0.011088914,531.2533872127533
-0.003036223,-8.9336e-06,-0.003035586,-0.01051049,-0.011001562,533.0240063667297
-0.003082748,-8.9087e-06,-0.003104672,-0.010426797,-0.010915294,534.7940030097961
-0.003031507,-8.6101e-06,-0.003027301,-0.010344108,-0.010828477,536.5646266937256
-0.0030208,-8.834e-06,-0.002993013,-0.010261906,-0.010742362,538.3240444660187
-0.003101231,-8.9087e-06,-0.003063628,-0.010180774,-0.010655839,540.1145813465118
-0.003035968,-8.5852e-06,-0.003038518,-0.010098738,-0.010570475,541.8839566707611
-0.003016211,-8.635e-06,-0.003000023,-0.010018052,-0.010484245,543.6623623371124
-0.003052794,-8.6599e-06,-0.00304846,-0.009938323,-0.010399466,545.4555037021637
-0.003039028,-8.7594e-06,-0.003006014,-0.009857841,-0.0103133,547.2167630195618
-0.003080581,-8.6599e-06,-0.003032909,-0.009779756,-0.010231722,548.9840133190155
-0.003036223,-8.7096e-06,-0.002982688,-0.009701875,-0.010150998,550.7563474178314
-0.003045656,-8.7345e-06,-0.003036096,-0.009625307,-0.010070963,552.5163478851318
-0.003059804,-8.7843e-06,-0.003053686,-0.009548726,-0.009990226,554.2838683128357
-0.003070002,-8.5852e-06,-0.00305904,-0.009472998,-0.009909987,556.056266784668
-0.003052794,-8.7843e-06,-0.003027938,-0.009397705,-0.009829289,557.8268811702728
-0.003048842,-8.7345e-06,-0.00301927,-0.009323763,-0.009749865,559.5856318473816
-0.003060824,-8.7843e-06,-0.003061971,-0.009249082,-0.009671602,561.3567848205566
-0.003041577,-8.6599e-06,-0.003059167,-0.009175496,-0.009594753,563.1248562335968
-0.003038518,-8.7594e-06,-0.0030208,-0.009102356,-0.009518427,564.8860507011414
-0.003054196,-8.7843e-06,-0.002987022,-0.009029204,-0.009442037,566.6643249988556
-0.003063118,-8.7843e-06,-0.00304094,-0.008956727,-0.009366668,568.4351420402527
-0.003050499,-8.9834e-06,-0.00302182,-0.00888643,-0.009292114,570.2012567520142
-0.003030997,-8.7843e-06,-0.003051009,-0.008815547,-0.009217916,571.9642224311829
-0.003022075,-8.6101e-06,-0.003045528,-0.008745199,-0.009145172,573.7343289852142
-0.003022585,-8.5852e-06,-0.003001298,-0.008675667,-0.009070898,575.5154702663422
-0.003014172,-8.7345e-06,-0.003027301,-0.008604745,-0.008998587,577.2862684726715
-0.003018633,-8.5603e-06,-0.003015574,-0.008536335,-0.008927219,579.0566217899323
-0.003018251,-8.635e-06,-0.003032272,-0.008467937,-0.008856336,580.8280622959137
-0.003035968,-8.9087e-06,-0.003024114,-0.008400419,-0.008786613,582.5958323478699
-0.003017613,-8.6847e-06,-0.003013152,-0.008333028,-0.008716596,584.4364256858826
-0.003016976,-8.5354e-06,-0.003036478,-0.008262946,-0.008644183,586.2153482437134
-0.003029468,-8.6599e-06,-0.003034949,-0.008195733,-0.008574625,587.9884462356567
-0.003045273,-8.7843e-06,-0.003030105,-0.008129961,-0.008505424,589.7542064189911
-0.003034821,-8.5603e-06,-0.003071659,-0.008065336,-0.008437294,591.5241482257843
-0.003067197,-8.635e-06,-0.00305649,-0.008001043,-0.008369993,593.2857089042664
-0.003036478,-8.7594e-06,-0.00306707,-0.007937425,-0.00830246,595.0540878772736
-0.003026791,-8.5852e-06,-0.003051774,-0.007874559,-0.008236127,596.8145015239716
-0.002997984,-8.6847e-06,-0.00302029,-0.007811541,-0.008170839,598.5746178627014
-0.003006524,-8.6599e-06,-0.002997219,-0.007749771,-0.008105105,600.3445744514465
-0.003046166,-8.7096e-06,-0.003074845,-0.007686625,-0.008039818,602.1164565086365
-0.003075355,-8.7843e-06,-0.003038773,-0.007625429,-0.007974696,603.8861677646637
-0.003043871,-8.9087e-06,-0.003094092,-0.007565609,-0.007910224,605.6540496349335
-0.003072806,-8.6847e-06,-0.003030997,-0.007505,-0.007845714,607.4361162185669
-0.003039155,-8.4359e-06,-0.002999768,-0.007444556,-0.007782848,609.21160197258
-0.002951204,-8.6599e-06,-0.003000151,-0.007385437,-0.00772011,610.9762992858887
-0.003016721,-8.6101e-06,-0.003000278,-0.007326472,-0.007658595,612.7746250629425
-0.003015701,-8.4608e-06,-0.00302832,-0.007267036,-0.007596609,614.557736158371
-0.00296752,-8.6599e-06,-0.003018251,-0.007208733,-0.007536203,616.3253490924835
-0.003024369,-8.6847e-06,-0.003040175,-0.007151336,-0.007475746,618.1145768165588
-0.003080454,-8.7594e-06,-0.003014299,-0.007094537,-0.007416233,619.894336938858
-0.003057892,-8.6847e-06,-0.003062354,-0.007037994,-0.007356809,621.6844038963318
-0.003064775,-8.7843e-06,-0.003022585,-0.006982164,-0.007297525,623.4742023944855
-0.003044763,-8.8589e-06,-0.003035459,-0.006926245,-0.007239134,625.2466597557068
-0.003061334,-8.635e-06,-0.003046675,-0.006871321,-0.007181902,627.0165190696716
-0.003060952,-8.9834e-06,-0.003091033,-0.006816804,-0.007124849,628.7864441871643
-0.003049225,-8.5852e-06,-0.003058657,-0.006762631,-0.007068203,630.54629945755
-0.00308466,-8.6847e-06,-0.003047695,-0.006709261,-0.007011851,632.3171544075012
-0.003008691,-8.8838e-06,-0.003043234,-0.006656287,-0.006957181,634.0862579345703
