Base,Current,Time,Volt
-7.93e-07,-5.342e-07,1.0380544662475586,-1.6606e-05
-7.28e-07,-3.815e-07,2.1172561645507812,-1.6177e-05
-8.84e-07,-6.105e-07,3.1682300567626953,-1.6112e-05
-9.62e-07,-5.85e-07,4.21853494644165,-1.5749e-05
-5.98e-07,-6.105e-07,5.287155866622925,-1.6099e-05
-1.053e-06,-5.087e-07,6.335678577423096,-1.5515e-05
-1.027e-06,-5.087e-07,7.385967969894409,-1.5567e-05
-1.299e-06,-6.105e-07,8.444702625274658,-1.5606e-05
-8.97e-07,-6.868e-07,9.494421482086182,-1.5814e-05
-1.143e-06,-4.579e-07,10.544406414031982,-1.6255e-05
-1.364e-06,-5.85e-07,11.60389232635498,-1.6138e-05
-1.053e-06,-4.07e-07,12.654718399047852,-1.6086e-05
-9.88e-07,-6.105e-07,13.703879356384277,-1.6554e-05
-1.104e-06,-6.359e-07,14.762940883636475,-1.6541e-05
-1.143e-06,-5.342e-07,15.82180643081665,-1.6957e-05
-9.36e-07,-4.579e-07,16.872944355010986,-1.6723e-05
-9.88e-07,-6.613e-07,17.931775331497192,-1.7035e-05
-1.286e-06,-5.85e-07,18.98160195350647,-1.6619e-05
-1.117e-06,-5.596e-07,20.030274152755737,-1.7204e-05
-1.403e-06,-7.377e-07,21.089337825775146,-1.7256e-05
-8.06e-07,-5.342e-07,22.140721082687378,-1.6827e-05
-1.416e-06,-6.868e-07,23.18966841697693,-1.6281e-05
-1.494e-06,-4.07e-07,24.25377058982849,-1.6281e-05
-1.195e-06,-6.105e-07,25.298216342926025,-1.6008e-05
-8.45e-07,-5.85e-07,26.357786655426025,-1.5917e-05
-9.75e-07,-5.342e-07,27.408398389816284,-1.6125e-05
-1.273e-06,-5.342e-07,28.467098712921143,-1.5463e-05
-1.221e-06,-5.596e-07,29.516514539718628,-1.5891e-05
-1.234e-06,-4.833e-07,30.576820135116577,-1.593e-05
-1.52e-06,-4.833e-07,31.61774969100952,-1.5814e-05
-1.273e-06,-6.359e-07,32.66583752632141,-1.5788e-05
-7.54e-07,-5.087e-07,33.73473262786865,-1.5463e-05
-1.26e-06,-3.815e-07,34.79429769515991,-1.5749e-05
-1.053e-06,-3.307e-07,35.84563755989075,-1.5489e-05
-1.04e-06,-5.596e-07,36.89721417427063,-1.5593e-05
-1.143e-06,-5.85e-07,37.955018281936646,-1.6125e-05
-7.93e-07,-5.087e-07,39.01329302787781,-1.5917e-05
-1.26e-06,-6.105e-07,40.06482195854187,-1.6125e-05
-1.053e-06,-6.105e-07,41.12411332130432,-1.5788e-05
-6.37e-07,-5.342e-07,42.17404365539551,-1.6255e-05
-1.533e-06,-5.85e-07,43.22442555427551,-1.619e-05
-8.19e-07,-6.105e-07,44.28436589241028,-1.6697e-05
-9.49e-07,-6.613e-07,45.344221353530884,-1.6463e-05
-9.49e-07,-4.324e-07,46.39399600028992,-1.6736e-05
-1.208e-06,-5.596e-07,47.45368576049805,-1.6567e-05
-7.41e-07,-5.342e-07,48.50140380859375,-1.6918e-05
-1.195e-06,-6.613e-07,49.54418420791626,-1.7061e-05
-1.26e-06,-6.105e-07,50.60360527038574,-1.6697e-05
-1.143e-06,-4.324e-07,51.65603590011597,-1.6541e-05
-1.65e-06,-5.596e-07,52.71421718597412,-1.684e-05
-1.247e-06,-5.342e-07,53.77379584312439,-1.7061e-05
-1.299e-06,-4.324e-07,54.827966928482056,-1.7139e-05
-1.195e-06,-4.579e-07,55.874680042266846,-1.6788e-05
-8.97e-07,-4.579e-07,56.9344367980957,-1.6762e-05
-1.195e-06,-5.85e-07,57.993791818618774,-1.6814e-05
-1.156e-06,-5.596e-07,59.044692039489746,-1.7308e-05
-9.1e-07,-4.579e-07,60.10388541221619,-1.7126e-05
-1.273e-06,-6.105e-07,61.14563727378845,-1.7217e-05
-1.117e-06,-5.087e-07,62.20431590080261,-1.7334e-05
-9.88e-07,-5.087e-07,63.26349377632141,-1.6918e-05
-1.429e-06,-5.342e-07,64.3239676952362,-1.6775e-05
-1.299e-06,-5.85e-07,65.3750262260437,-1.7048e-05
-1.429e-06,-3.561e-07,66.42444896697998,-1.7607e-05
-9.75e-07,-5.342e-07,67.48735213279724,-1.6515e-05
-1.338e-06,-5.087e-07,68.53467726707458,-1.6866e-05
-8.32e-07,-5.342e-07,69.5852906703949,-1.6099e-05
-9.49e-07,-4.579e-07,70.6434850692749,-1.5969e-05
-1.663e-06,-5.342e-07,71.6960198879242,-1.6125e-05
-1.117e-06,-5.087e-07,72.7441656589508,-1.6151e-05
-1.091e-06,-5.342e-07,73.8047423362732,-1.5956e-05
-1.403e-06,-5.342e-07,74.8546040058136,-1.5502e-05
-1.494e-06,-5.342e-07,75.90429258346558,-1.5502e-05
-1.208e-06,-3.307e-07,76.96689033508301,-1.5203e-05
-1.143e-06,-7.885e-07,78.02522683143616,-1.5359e-05
-1.001e-06,-5.596e-07,79.07620215415955,-1.5086e-05
-1.247e-06,-6.359e-07,80.13620805740356,-1.5125e-05
-1.364e-06,-5.342e-07,81.18350076675415,-1.4826e-05
-1.403e-06,-5.087e-07,82.23405480384827,-1.5255e-05
-1.13e-06,-5.596e-07,83.29524445533752,-1.5398e-05
-4.81e-07,-3.815e-07,84.34329199790955,-1.5528e-05
-1.078e-06,-5.596e-07,85.39472103118896,-1.5671e-05
-1.065e-06,-4.833e-07,86.44780492782593,-1.5606e-05
