Base,Current,Temp,Time
2.34e-07,3.815e-07,-7.4507e-05,1.0486416816711426
1.3e-07,3.307e-07,-7.4429e-05,2.1346991062164307
3.25e-07,5.087e-07,-7.4767e-05,3.195460557937622
3.12e-07,2.544e-07,-7.452e-05,4.248037099838257
-7.8e-08,2.289e-07,-7.4741e-05,5.300080299377441
1.3e-08,1.526e-07,-7.4624e-05,6.359822750091553
9.1e-08,2.544e-07,-7.4299e-05,7.410185813903809
9.1e-08,1.526e-07,-7.4689e-05,8.462956190109253
4.16e-07,3.561e-07,-7.4117e-05,9.522321462631226
2.21e-07,3.561e-07,-7.4026e-05,10.572404861450195
1.69e-07,3.307e-07,-7.452e-05,11.621704339981079
-3.9e-08,3.307e-07,-7.4052e-05,12.682393789291382
2.47e-07,3.307e-07,-7.4338e-05,13.732668399810791
3.38e-07,2.544e-07,-7.4793e-05,14.789477348327637
1.43e-07,2.798e-07,-7.478e-05,15.850754499435425
6.11e-07,3.561e-07,-7.4793e-05,16.902174472808838
1.3e-08,2.544e-07,-7.4949e-05,17.95474624633789
-1.04e-07,3.307e-07,-7.4637e-05,19.012516260147095
-1.3e-07,2.289e-07,-7.4975e-05,20.063357830047607
2.99e-07,2.544e-07,-7.4377e-05,21.117310285568237
4.55e-07,2.798e-07,-7.4559e-05,22.176007986068726
-2.6e-08,3.307e-07,-7.4351e-05,23.22911500930786
-1.3e-08,2.798e-07,-7.4663e-05,24.285558938980103
1.56e-07,1.781e-07,-7.4546e-05,25.342469215393066
9.1e-08,2.798e-07,-7.4585e-05,26.395163536071777
4.03e-07,3.052e-07,-7.4143e-05,27.44866108894348
1.95e-07,1.781e-07,-7.0141e-05,28.50626277923584
-1.17e-07,2.544e-07,-7.9016e-05,29.55777668952942
4.68e-07,1.526e-07,-7.5871e-05,30.612000703811646
-9.1e-08,2.798e-07,-5.1079e-05,31.670676469802856
1.56e-07,3.052e-07,-3.508e-06,32.72146534919739
3.9e-08,3.052e-07,4.8246e-05,33.77751278877258
-1.04e-07,2.544e-07,8.9359e-05,34.836933612823486
3.25e-07,3.307e-07,0.000120167,35.887911558151245
-7.8e-08,2.289e-07,0.000142465,36.941601276397705
1.95e-07,3.052e-07,0.000158304,38.00340294837952
-6.5e-08,1.017e-07,0.000170557,39.05594873428345
2.34e-07,3.052e-07,0.000179263,40.10837197303772
3.12e-07,1.781e-07,0.000185994,41.167739391326904
7.8e-08,1.272e-07,0.000190997,42.215972661972046
-2.6e-08,2.289e-07,0.000194583,43.272549629211426
3.64e-07,1.526e-07,0.000197637,44.33125066757202
1.3e-08,2.544e-07,0.000199703,45.38230657577515
-6.5e-08,1.272e-07,0.000201275,46.430267095565796
3.38e-07,1.526e-07,0.000202366,47.49083733558655
0.0,3.052e-07,0.000202912,48.54150414466858
-3.9e-08,1.526e-07,0.000204108,49.594151735305786
5.72e-07,3.307e-07,0.000204082,50.65141582489014
2.08e-07,1.017e-07,0.000204264,51.70170211791992
-3.9e-08,2.035e-07,0.000204432,52.74711585044861
3.12e-07,1.526e-07,0.000203952,53.808464765548706
3.9e-08,1.272e-07,0.000203523,54.860454082489014
3.9e-08,1.272e-07,0.000203822,55.914506912231445
1.69e-07,1.272e-07,0.000203562,56.97420525550842
3.9e-08,1.017e-07,0.000202938,58.02507042884827
4.55e-07,1.526e-07,0.000202392,59.07713723182678
2.08e-07,3.307e-07,0.00020212,60.13850021362305
-2.08e-07,2.544e-07,0.000201808,61.1910502910614
1.17e-07,2.289e-07,0.000201483,62.24302315711975
1.95e-07,1.781e-07,0.000200976,63.30231690406799
-2.73e-07,2.289e-07,0.000200794,64.35521626472473
1.43e-07,2.035e-07,0.000200053,65.41083264350891
7.02e-07,2.544e-07,0.000199547,66.46092367172241
5.2e-08,2.798e-07,0.000199274,67.51952338218689
-1.17e-07,2.544e-07,0.000198728,68.5694739818573
2.47e-07,2.289e-07,0.000198455,69.6190276145935
-1.69e-07,2.035e-07,0.000197897,70.67945337295532
4.16e-07,1.526e-07,0.000197377,71.73046350479126
-2.6e-07,2.289e-07,0.000197,72.78255319595337
-6.5e-08,2.289e-07,0.00019661,73.84628486633301
3.64e-07,1.781e-07,0.000196506,74.89860200881958
2.99e-07,2.289e-07,0.000196025,75.9531614780426
-2.6e-07,2.544e-07,0.000196155,77.01398038864136
-6.5e-08,7.63e-08,0.000195636,78.0657365322113
1.82e-07,7.63e-08,0.000195155,79.1158812046051
2.99e-07,1.017e-07,0.000194843,80.17649435997009
6.5e-07,1.781e-07,0.000194271,81.22868132591248
3.9e-08,-2.54e-08,0.000193933,82.28310632705688
-5.2e-08,2.035e-07,0.000192959,83.3399133682251
