Current,Supply_voltage,TEG1,TEG2,Time
0.011526832,3.9959019,0.001227464,-0.000944198,109.06548762321472
0.011526583,3.9958638,0.001227808,-0.000943777,110.34012079238892
0.011527081,3.9959019,0.001228496,-0.000943102,111.61159563064575
0.011526832,3.9958892,0.001229567,-0.000943216,112.87608528137207
0.011527081,3.9959146,0.001230421,-0.000942541,114.15115475654602
0.011527081,3.9959019,0.001230561,-0.000942197,115.41861152648926
0.011527081,3.9958892,0.001231543,-0.000942401,116.71450209617615
0.011527081,3.995851,0.001232193,-0.000942095,117.9866738319397
0.011527081,3.9958638,0.001232753,-0.00094161,119.25255799293518
0.011526832,3.9958765,0.001233212,-0.000941101,120.51707816123962
0.011526832,3.9958765,0.001233225,-0.00094119,121.79557943344116
0.011527081,3.9958765,0.001234347,-0.000941304,123.06528115272522
0.011527081,3.9959146,0.001234462,-0.000940948,124.32897591590881
0.011527081,3.9958383,0.00123501,-0.000941037,125.60807418823242
0.011526832,3.9958638,0.001234959,-0.000940591,126.86069250106812
0.011527579,3.9959146,0.001235507,-0.000941126,128.13023781776428
0.011526832,3.9959019,0.001236322,-0.000940948,129.40255689620972
0.011527081,3.9959273,0.001236259,-0.000940208,130.67245483398438
0.011527081,3.9958383,0.00123738,-0.000940272,131.94105005264282
0.01152733,3.9959273,0.001237699,-0.000939813,133.2068326473236
0.011526832,3.9958765,0.001238234,-0.000939864,134.4868278503418
0.011526832,3.9958638,0.001238732,-0.000939839,135.7650215625763
0.011527081,3.9958765,0.001239012,-0.000939851,137.03517746925354
0.011527081,3.9959146,0.001239178,-0.000940094,138.34616446495056
0.011527081,3.9958765,0.001239127,-0.000939826,139.60281419754028
0.011526832,3.9958892,0.001239267,-0.000940247,140.88207864761353
-8.0875e-06,-0.002922524,0.001239892,-0.000940476,142.40363788604736
-8.0129e-06,-0.002739994,0.001235902,-0.000946582,143.87884545326233
-7.988e-06,-0.002730689,0.001219867,-0.000957964,145.36068320274353
-7.8387e-06,-0.002750446,0.001200645,-0.000969959,146.8652868270874
-7.6147e-06,-0.002733494,0.001182239,-0.000981469,148.37034845352173
-7.5152e-06,-0.002705196,0.001166268,-0.000992344,149.87285733222961
-7.8138e-06,-0.002671418,0.001152412,-0.001001483,151.35534143447876
-7.5649e-06,-0.002669251,0.001140877,-0.001009666,152.84720849990845
-7.7142e-06,-0.002635473,0.001131763,-0.001016753,154.35529041290283
-7.54e-06,-0.002650641,0.001123656,-0.001022871,155.8623549938202
-7.6894e-06,-0.002702137,0.001116352,-0.001028837,157.37018370628357
-7.8387e-06,-0.002663898,0.001110859,-0.001034381,158.85862469673157
-7.6396e-06,-0.002674222,0.001105773,-0.001038358,160.34329080581665
-7.7142e-06,-0.002648984,0.001101949,-0.001042641,161.85332369804382
-7.7142e-06,-0.002693725,0.001097959,-0.001046223,163.36905026435852
-7.8635e-06,-0.002729032,0.00109453,-0.001049919,164.85920119285583
-7.7142e-06,-0.002717051,0.001092172,-0.001052622,166.34494376182556
-7.6147e-06,-0.002659181,0.001089878,-0.001055515,167.83694219589233
-7.7889e-06,-0.002664408,0.001087736,-0.001057491,169.33716368675232
-7.6894e-06,-0.002669506,0.001086538,-0.001060066,170.8541738986969
-7.7142e-06,-0.00268238,0.001084563,-0.00106157,172.35104632377625
-7.9133e-06,-0.002684292,0.001083709,-0.001062934,173.8335201740265
-7.6894e-06,-0.002723169,0.001082651,-0.00106482,175.33324313163757
-7.6396e-06,-0.0026537,0.001082472,-0.001066337,176.85698771476746
-7.5649e-06,-0.002629737,0.001081516,-0.001067459,178.35768389701843
-7.5898e-06,-0.002620814,0.001080892,-0.001069269,179.84048533439636
-7.4654e-06,-0.002602205,0.001080101,-0.001069983,181.33483934402466
-7.5898e-06,-0.00265625,0.001079744,-0.001071015,182.85510063171387
-7.7142e-06,-0.002670143,0.001079464,-0.001072634,184.34211802482605
-7.6894e-06,-0.002682508,0.001078725,-0.001073399,185.83995413780212
-7.4903e-06,-0.002681615,0.001078024,-0.001074648,187.33842611312866
-7.4654e-06,-0.002632286,0.001077526,-0.001076075,188.8697509765625
-7.5649e-06,-0.002592135,0.001077272,-0.001076917,190.3711543083191
-7.54e-06,-0.002570976,0.001077119,-0.00107786,191.85154700279236
-7.7391e-06,-0.002648984,0.00107666,-0.001078395,193.3431921005249
-7.4156e-06,-0.002642356,0.001076073,-0.001079122,194.83948612213135
-7.4405e-06,-0.002661221,0.001075882,-0.001080192,196.34643936157227
-7.5898e-06,-0.002671928,0.001075959,-0.001080817,197.83680653572083
-7.5898e-06,-0.002677027,0.001075882,-0.001081378,199.32593631744385
-7.5152e-06,-0.002629864,0.001075398,-0.001082423,200.80596828460693
-7.8387e-06,-0.002608833,0.00107564,-0.001082767,202.2932572364807
-7.7889e-06,-0.002695764,0.001074926,-0.001083124,203.77714800834656
-7.7889e-06,-0.002637385,0.001075219,-0.001083927,205.26782155036926
-7.5152e-06,-0.002659309,0.001075041,-0.001084131,206.78222179412842
-7.5649e-06,-0.002676007,0.001075232,-0.001084577,208.28435039520264
-7.7889e-06,-0.002644396,0.001074735,-0.001085266,209.76892685890198
-7.5898e-06,-0.002634836,0.00107499,-0.001085342,211.26558136940002
-7.5898e-06,-0.002705451,0.001074353,-0.001086311,212.76474809646606
-7.4654e-06,-0.00265472,0.001074187,-0.001086604,214.27799105644226
-7.5898e-06,-0.002644778,0.001074365,-0.001086387,215.7919352054596
-7.6645e-06,-0.002643121,0.001074671,-0.001087012,217.29813766479492
-7.6645e-06,-0.002625148,0.001074021,-0.001087432,218.80041551589966
-7.6645e-06,-0.00266581,0.001074327,-0.001087547,220.2974214553833
-7.4654e-06,-0.002619922,0.001074493,-0.001087649,221.79716324806213
-7.6894e-06,-0.002655103,0.001073741,-0.001088376,223.28299760818481
-7.4156e-06,-0.002624383,0.001074289,-0.001088134,224.76924467086792
-7.6396e-06,-0.002625148,0.001074238,-0.001088605,226.2684314250946
-7.5649e-06,-0.002627825,0.001074059,-0.001089192,227.79054188728333
-7.341e-06,-0.002645415,0.001073715,-0.001088643,229.2802550792694
-7.4405e-06,-0.00263815,0.001074544,-0.001089026,230.76358318328857
-7.54e-06,-0.002626423,0.001074404,-0.001088452,232.265460729599
-7.6147e-06,-0.002651788,0.001074455,-0.001088796,233.7713189125061
-7.4903e-06,-0.002650386,0.001074658,-0.001088427,235.26936173439026
-7.6894e-06,-0.002640826,0.001074595,-0.001088567,236.76138997077942
-7.7142e-06,-0.002632924,0.001075105,-0.001089051,238.24390292167664
-7.6894e-06,-0.002692195,0.001074939,-0.001088554,239.73150849342346
-7.5898e-06,-0.002687606,0.001075041,-0.001088452,241.22744965553284
-7.7391e-06,-0.002687479,0.001074684,-0.001089268,242.739972114563
-7.6147e-06,-0.002640062,0.001074722,-0.001089204,244.2342336177826
-7.54e-06,-0.002637895,0.001074913,-0.001089357,245.7180953025818
-7.5649e-06,-0.00264516,0.001074799,-0.001088911,247.19882583618164
-7.4654e-06,-0.00265625,0.001074658,-0.001089141,248.68085956573486
-7.6396e-06,-0.002708001,0.001075143,-0.00108937,250.16383934020996
-7.5898e-06,-0.002704304,0.001074862,-0.001088911,251.6644003391266
