Time,Current,Voltage
1.442733049,7.89E-06,-3.06E-07
2.826882839,7.76E-06,0
4.193655729,7.63E-06,-3.19E-07
5.553467512,7.67E-06,-1.02E-07
6.908028126,7.67E-06,-5.10E-08
8.262910604,7.62E-06,0
9.625308037,7.60E-06,-2.80E-07
10.99990821,7.62E-06,-3.06E-07
12.36240149,7.57E-06,-1.30E-08
13.713166,7.57E-06,-1.66E-07
15.07226396,7.56E-06,0
16.42224407,7.59E-06,-7.60E-08
17.7957375,7.61E-06,3.44E-07
19.15388823,7.60E-06,-1.53E-07
20.51361799,7.65E-06,5.10E-08
21.87706089,7.54E-06,-1.30E-08
23.23383808,7.48E-06,1.66E-07
24.61374354,7.57E-06,-8.90E-08
25.97457099,7.55E-06,0
27.33418131,7.59E-06,8.90E-08
28.67722034,7.51E-06,2.93E-07
30.04396462,7.59E-06,-7.60E-08
31.40558791,7.66E-06,1.30E-08
32.7624507,7.58E-06,1.40E-07
34.1236856,7.53E-06,-1.66E-07
35.47399187,7.42E-06,3.57E-07
36.8443141,7.48E-06,1.66E-07
38.19464421,7.18E-06,-2.04E-07
39.55246615,7.97E-06,3.06E-07
40.90309858,9.54E-06,-7.60E-08
42.26272726,1.08E-05,-6.40E-08
43.6253314,1.20E-05,5.48E-07
44.98352933,1.26E-05,-5.10E-08
46.32282019,1.30E-05,-1.30E-08
47.68031955,1.33E-05,2.80E-07
49.05590892,1.34E-05,5.10E-08
50.40418911,1.35E-05,-2.17E-07
51.76400042,1.36E-05,1.02E-07
53.1144383,1.36E-05,1.30E-08
54.47372508,1.38E-05,8.90E-08
55.84416628,1.37E-05,4.97E-07
57.19484258,1.37E-05,-1.27E-07
58.56052661,1.37E-05,8.90E-08
59.91203761,1.37E-05,-1.15E-07
61.27479029,1.37E-05,5.74E-07
62.63466597,1.38E-05,1.15E-07
64.00832081,1.37E-05,1.53E-07
65.3541739,1.37E-05,5.10E-08
66.70242095,1.37E-05,2.04E-07
68.08757925,1.37E-05,1.15E-07
69.44449067,1.37E-05,-1.53E-07
70.79804468,1.37E-05,3.82E-07
72.14476228,1.37E-05,-3.80E-08
73.50725007,1.37E-05,6.40E-08
74.86944509,1.37E-05,-2.93E-07
76.22388577,1.37E-05,-6.40E-08
77.57410693,1.36E-05,7.60E-08
78.92343545,1.36E-05,-5.35E-07
80.28900647,1.37E-05,1.40E-07
81.64746094,1.36E-05,1.78E-07
82.99995065,1.36E-05,-1.78E-07
84.3565197,1.36E-05,1.53E-07
85.72342753,1.37E-05,-1.53E-07
87.07898855,1.36E-05,3.06E-07
88.42340469,1.36E-05,2.68E-07
89.77504873,1.35E-05,1.66E-07
91.13471603,1.36E-05,-5.10E-08
92.50701308,1.35E-05,-2.50E-08
93.85546899,1.35E-05,-8.90E-08
95.20451117,1.35E-05,1.53E-07
96.55533862,1.35E-05,1.02E-07
97.92512774,1.34E-05,-2.29E-07
99.27486157,1.34E-05,2.68E-07
100.6221657,1.34E-05,-8.90E-08
101.9877486,1.34E-05,-1.40E-07
103.3470187,1.34E-05,0
104.7065647,1.35E-05,0
106.0546939,1.34E-05,-3.06E-07
107.4140818,1.34E-05,-1.15E-07
108.7743261,1.33E-05,2.29E-07
110.1349194,1.33E-05,1.91E-07
111.486501,1.34E-05,1.15E-07
112.8443365,1.33E-05,5.10E-08
114.2056584,1.33E-05,2.04E-07
115.5650046,1.32E-05,-2.42E-07
116.9193182,1.33E-05,2.80E-07
118.2638919,1.32E-05,2.50E-08
119.6268172,1.32E-05,2.68E-07
120.9970856,1.31E-05,-3.70E-07
122.3449838,1.32E-05,6.40E-08
123.7051127,1.31E-05,2.17E-07
125.0633516,1.31E-05,2.17E-07
126.4250329,1.32E-05,2.80E-07
127.7759583,1.32E-05,-1.30E-08
129.1285322,1.31E-05,-8.90E-08
130.4851637,1.31E-05,-2.55E-07
131.8494992,1.31E-05,4.21E-07
133.1988959,1.31E-05,3.82E-07
134.5447032,1.31E-05,1.78E-07
135.8987446,1.31E-05,-1.27E-07
137.265434,1.30E-05,7.60E-08
138.6151206,1.30E-05,-2.17E-07
139.9697568,1.30E-05,-1.66E-07
141.3256409,1.30E-05,6.40E-08
142.6968198,1.29E-05,2.04E-07
144.0498526,1.30E-05,-7.60E-08
145.4143484,1.30E-05,8.90E-08
146.7542534,1.28E-05,2.17E-07
148.1254311,1.29E-05,1.15E-07
149.4869006,1.29E-05,2.17E-07
150.8543925,1.29E-05,-5.10E-08
152.2148895,1.29E-05,2.50E-08
153.5600617,1.29E-05,-5.10E-08
